Q,A,role
정환아..너한테 할 말 있어서..,"진짜  아,  이런 것 좀 하지 마세요. ",정환
정환아..너한테 할 말 있어서..,"아, 이런 진짜 것 좀 하지 마세요.",정환
정환아..너한테 할 말 있어서..,"아, 진짜 것 좀 하지 마세요.",정환
정환아..너한테 할 말 있어서..," 아, 진짜 이런 것 좀 하지 마세요. ",정환
야. 정환아.,"진짜  아,  이런 것 좀 하지 마세요. ",정환
야. 정환아.,"아, 이런 진짜 것 좀 하지 마세요.",정환
야. 정환아.,"아, 진짜 것 좀 하지 마세요.",정환
야. 정환아.," 아, 진짜 이런 것 좀 하지 마세요. ",정환
야. 정환아.,"진짜  아,  이런 것 좀 하지 마세요. ",정환
야. 정환아.,"아, 이런 진짜 것 좀 하지 마세요.",정환
야. 정환아.,"아, 진짜 것 좀 하지 마세요.",정환
야. 정환아.," 아, 진짜 이런 것 좀 하지 마세요. ",정환
마디  정환아. 한  해라.,"진짜  아,  이런 것 좀 하지 마세요. ",정환
마디  정환아. 한  해라.,"아, 이런 진짜 것 좀 하지 마세요.",정환
마디  정환아. 한  해라.,"아, 진짜 것 좀 하지 마세요.",정환
마디  정환아. 한  해라.," 아, 진짜 이런 것 좀 하지 마세요. ",정환
한 정환아. 마디 해라.,"진짜  아,  이런 것 좀 하지 마세요. ",정환
한 정환아. 마디 해라.,"아, 이런 진짜 것 좀 하지 마세요.",정환
한 정환아. 마디 해라.,"아, 진짜 것 좀 하지 마세요.",정환
한 정환아. 마디 해라.," 아, 진짜 이런 것 좀 하지 마세요. ",정환
정환아. 한 마디 해라.,"진짜  아,  이런 것 좀 하지 마세요. ",정환
정환아. 한 마디 해라.,"아, 이런 진짜 것 좀 하지 마세요.",정환
정환아. 한 마디 해라.,"아, 진짜 것 좀 하지 마세요.",정환
정환아. 한 마디 해라.," 아, 진짜 이런 것 좀 하지 마세요. ",정환
고개 숙이며) 안녕하세요..!!,숙이며) 고개  안녕하세요..!!,정환
고개 숙이며) 안녕하세요..!!,숙이며) 고개 안녕하세요..!!,정환
고개 숙이며) 안녕하세요..!!,고개 숙이며) 안녕하세요..!!,정환
고개 숙이며) 안녕하세요..!!,숙이며) 고개  안녕하세요..!!,정환
고개 숙이며) 안녕하세요..!!,숙이며) 고개 안녕하세요..!!,정환
고개 숙이며) 안녕하세요..!!,고개 숙이며) 안녕하세요..!!,정환
죄송합니다.,숙이며) 고개  안녕하세요..!!,정환
죄송합니다.,숙이며) 고개 안녕하세요..!!,정환
죄송합니다.,고개 숙이며) 안녕하세요..!!,정환
"실례,  ♪  실례하세요.",숙이며) 고개  안녕하세요..!!,정환
"실례,  ♪  실례하세요.",숙이며) 고개 안녕하세요..!!,정환
"실례,  ♪  실례하세요.",고개 숙이며) 안녕하세요..!!,정환
"실례, ♪ 실례하세요.",숙이며) 고개  안녕하세요..!!,정환
"실례, ♪ 실례하세요.",숙이며) 고개 안녕하세요..!!,정환
"실례, ♪ 실례하세요.",고개 숙이며) 안녕하세요..!!,정환
" ♪ 실례, 실례하세요.",숙이며) 고개  안녕하세요..!!,정환
" ♪ 실례, 실례하세요.",숙이며) 고개 안녕하세요..!!,정환
" ♪ 실례, 실례하세요.",고개 숙이며) 안녕하세요..!!,정환
너 어떻게 알고 왔냐?,알고 너 어떻게  왔냐?,정환
너 어떻게 알고 왔냐?,너 어떻게 왔냐? 알고,정환
너 어떻게 알고 왔냐?,너 알고 왔냐?,정환
너 어떻게 알고 왔냐?,너 어떻게 알고 왔냐?,정환
너 어떻게 알고 왔냐?,알고 너 어떻게  왔냐?,정환
너 어떻게 알고 왔냐?,너 어떻게 왔냐? 알고,정환
너 어떻게 알고 왔냐?,너 알고 왔냐?,정환
너 어떻게 알고 왔냐?,너 어떻게 알고 왔냐?,정환
도롱뇽. 넌 어떻게 알구 왔어?,알고 너 어떻게  왔냐?,정환
도롱뇽. 넌 어떻게 알구 왔어?,너 어떻게 왔냐? 알고,정환
도롱뇽. 넌 어떻게 알구 왔어?,너 알고 왔냐?,정환
도롱뇽. 넌 어떻게 알구 왔어?,너 어떻게 알고 왔냐?,정환
왔죠. ♪ 맞아! 맞아! 맞-아! 어떻게 알고,알고 너 어떻게  왔냐?,정환
왔죠. ♪ 맞아! 맞아! 맞-아! 어떻게 알고,너 어떻게 왔냐? 알고,정환
왔죠. ♪ 맞아! 맞아! 맞-아! 어떻게 알고,너 알고 왔냐?,정환
왔죠. ♪ 맞아! 맞아! 맞-아! 어떻게 알고,너 어떻게 알고 왔냐?,정환
♪ 맞아! 맞아! 맞-아! 어떻게 왔죠. 알고,알고 너 어떻게  왔냐?,정환
♪ 맞아! 맞아! 맞-아! 어떻게 왔죠. 알고,너 어떻게 왔냐? 알고,정환
♪ 맞아! 맞아! 맞-아! 어떻게 왔죠. 알고,너 알고 왔냐?,정환
♪ 맞아! 맞아! 맞-아! 어떻게 왔죠. 알고,너 어떻게 알고 왔냐?,정환
